route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R001,Chennai,Rotterdam,8650,24,1,Standard,1850
R002,Chennai,Rotterdam,9100,27,2,Alternative,1720
R003,Chennai,Rotterdam,8950,26,1,Alternative,1780
R004,Chennai,Hamburg,8800,25,1,Standard,1900
R005,Mumbai,Hamburg,7940,22,1,Standard,1800
R006,Mumbai,Hamburg,8350,25,2,Alternative,1680
R007,Mumbai,Rotterdam,7600,21,1,Standard,1750
R008,Mumbai,Rotterdam,8050,24,2,Alternative,1640
R009,Singapore,Rotterdam,8400,23,1,Standard,1600
R010,Singapore,Hamburg,8600,24,1,Standard,1650
R011,Algeciras,Antwerp,1119,6,2,Alternative,880
R012,Algeciras,Barcelona,531,2,0,Standard,710
R013,Algeciras,Buenos Aires,5798,15,1,Standard,1450
R014,Algeciras,Busan,6531,18,2,Alternative,1630
R015,Algeciras,Cape Town,4944,12,0,Standard,1080
R016,Algeciras,Chennai,5307,14,1,Standard,1380
R017,Algeciras,Colombo,5524,16,2,Alternative,1500
R018,Algeciras,Dubai,3531,9,0,Standard,1030
R019,Algeciras,Durban,5001,14,1,Standard,1160
R020,Algeciras,Felixstowe,1112,6,2,Alternative,880
R021,Algeciras,Genoa,922,3,0,Standard,750
R022,Algeciras,Hamburg,1377,5,1,Standard,850
R023,Algeciras,Ho Chi Minh City,6784,19,2,Alternative,1670
R024,Algeciras,Hong Kong,6614,16,0,Standard,1440
R025,Algeciras,Houston,4903,13,1,Standard,1270
R026,Algeciras,Jakarta,7504,20,2,Alternative,1770
R027,Algeciras,Jebel Ali,3526,9,0,Standard,1030
R028,Algeciras,Kaohsiung,6862,18,1,Standard,1580
R029,Algeciras,Kobe,6741,19,2,Alternative,1660
R030,Algeciras,Laem Chabang,6391,16,0,Standard,1420
R031,Algeciras,Le Havre,938,4,1,Standard,800
R032,Algeciras,London Gateway,1067,5,2,Alternative,870
R033,Algeciras,Long Beach,5788,14,0,Standard,1290
R034,Algeciras,Los Angeles,5793,15,1,Standard,1380
R035,Algeciras,Manila,7289,20,2,Alternative,1740
R036,Algeciras,Miami,4263,11,0,Standard,1120
R037,Algeciras,Montreal,3418,10,1,Standard,1100
R038,Algeciras,Mumbai,4689,14,2,Alternative,1380
R039,Algeciras,New York,3534,9,0,Standard,1040
R040,Algeciras,Ningbo,6546,17,1,Standard,1540
R041,Algeciras,Oakland,5768,16,2,Alternative,1470
R042,Algeciras,Piraeus,1560,5,0,Standard,820
R043,Algeciras,Port Klang,6840,18,1,Standard,1570
R044,Algeciras,Port Said,2124,8,2,Alternative,1000
R045,Algeciras,Qingdao,6187,15,0,Standard,1390
R046,Algeciras,Rotterdam,1162,5,1,Standard,830
R047,Algeciras,Salalah,3740,12,2,Alternative,1200
R048,Algeciras,Santos,4803,12,0,Standard,1240
R049,Algeciras,Savannah,4110,12,1,Standard,1180
R050,Algeciras,Seattle,5318,15,2,Alternative,1410
R051,Algeciras,Shanghai,6473,16,0,Standard,1430
R052,Algeciras,Shenzhen,6598,17,1,Standard,1540
R053,Algeciras,Singapore,7040,19,2,Alternative,1700
R054,Algeciras,Tanjung Pelepas,7021,17,0,Standard,1490
R055,Algeciras,Tianjin,5916,16,1,Standard,1460
R056,Algeciras,Tokyo,6805,19,2,Alternative,1670
R057,Algeciras,Valparaiso,6237,15,0,Standard,1410
R058,Algeciras,Vancouver,5267,14,1,Standard,1320
R059,Algeciras,Yokohama,6818,19,2,Alternative,1670
R060,Antwerp,Algeciras,1119,4,0,Standard,770
R061,Antwerp,Barcelona,672,4,1,Standard,770
R062,Antwerp,Buenos Aires,6855,19,2,Alternative,1700
R063,Antwerp,Busan,5445,14,0,Standard,1300
R064,Antwerp,Cape Town,5785,15,1,Standard,1230
R065,Antwerp,Chennai,4775,14,2,Alternative,1390
R066,Antwerp,Colombo,5078,13,0,Standard,1260
R067,Antwerp,Dubai,3118,9,1,Standard,1060
R068,Antwerp,Durban,5676,16,2,Alternative,1300
R069,Antwerp,Genoa,502,2,0,Standard,700
R070,Antwerp,Ho Chi Minh City,5995,16,1,Standard,1470
R071,Antwerp,Hong Kong,5666,16,2,Alternative,1520
R072,Antwerp,Houston,4900,12,0,Standard,1190
R073,Antwerp,Jakarta,6897,18,1,Standard,1580
R074,Antwerp,Jebel Ali,3121,10,2,Alternative,1130
R075,Antwerp,Kaohsiung,5869,15,0,Standard,1350
R076,Antwerp,Kobe,5638,15,1,Standard,1420
R077,Antwerp,Laem Chabang,5637,16,2,Alternative,1510
R078,Antwerp,Long Beach,5461,14,0,Standard,1250
R079,Antwerp,Los Angeles,5465,15,1,Standard,1340
R080,Antwerp,Manila,6340,18,2,Alternative,1610
R081,Antwerp,Miami,4500,11,0,Standard,1150
R082,Antwerp,Montreal,3338,10,1,Standard,1090
R083,Antwerp,Mumbai,4163,13,2,Alternative,1310
R084,Antwerp,New York,3557,9,0,Standard,1040
R085,Antwerp,Ningbo,5509,15,1,Standard,1400
R086,Antwerp,Oakland,5346,15,2,Alternative,1410
R087,Antwerp,Piraeus,1275,4,0,Standard,790
R088,Antwerp,Port Klang,6189,16,1,Standard,1490
R089,Antwerp,Port Said,1925,7,2,Alternative,980
R090,Antwerp,Qingdao,5130,13,0,Standard,1270
R091,Antwerp,Salalah,3497,10,1,Standard,1100
R092,Antwerp,Santos,5876,17,2,Alternative,1560
R093,Antwerp,Savannah,4229,11,0,Standard,1120
R094,Antwerp,Seattle,4784,13,1,Standard,1260
R095,Antwerp,Shanghai,5431,16,2,Alternative,1480
R096,Antwerp,Shenzhen,5650,14,0,Standard,1330
R097,Antwerp,Singapore,6381,17,1,Standard,1510
R098,Antwerp,Tanjung Pelepas,6365,18,2,Alternative,1610
R099,Antwerp,Tianjin,4857,12,0,Standard,1230
R100,Antwerp,Tokyo,5692,15,1,Standard,1430
R101,Antwerp,Valencia,821,5,2,Alternative,840
R102,Antwerp,Valparaiso,7219,18,0,Standard,1530
R103,Antwerp,Vancouver,4707,13,1,Standard,1250
R104,Antwerp,Yokohama,5706,16,2,Alternative,1520
R105,Barcelona,Algeciras,531,2,0,Standard,710
R106,Barcelona,Antwerp,672,4,1,Standard,770
R107,Barcelona,Buenos Aires,6327,18,2,Alternative,1620
R108,Barcelona,Busan,6009,15,0,Standard,1370
R109,Barcelona,Cape Town,5161,14,1,Standard,1170
R110,Barcelona,Chennai,4878,14,2,Alternative,1410
R111,Barcelona,Colombo,5125,13,0,Standard,1270
R112,Barcelona,Dubai,3122,9,1,Standard,1060
R113,Barcelona,Durban,5114,15,2,Alternative,1240
R114,Barcelona,Felixstowe,714,3,0,Standard,730
R115,Barcelona,Hamburg,893,4,1,Standard,800
