pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P001,R001,100,75,1.0,50,15
P002,R002,110,80,0.95,60,15
P003,R003,105,70,1.05,55,15
P004,R004,100,80,1.0,50,15
P005,R005,95,70,1.0,45,15
P006,R006,105,75,0.95,55,15
P007,R007,90,65,1.05,45,15
P008,R008,100,70,0.95,50,15
P009,R009,85,60,1.1,40,15
P010,R010,90,65,1.05,45,15
P011,R011,44,80,1.05,65,15
P012,R012,36,60,1.1,40,15
P013,R013,72,70,0.95,50,15
P014,R014,82,80,1.0,65,15
P015,R015,54,60,1.05,40,15
P016,R016,69,70,1.1,50,15
P017,R017,75,80,0.95,65,15
P018,R018,52,60,1.0,40,15
P019,R019,58,70,1.05,50,15
P020,R020,44,80,1.1,65,15
P021,R021,38,60,0.95,40,15
P022,R022,42,70,1.0,50,15
P023,R023,84,80,1.05,65,15
P024,R024,72,60,1.1,40,15
P025,R025,64,70,0.95,50,15
P026,R026,88,80,1.0,65,15
P027,R027,52,60,1.05,40,15
P028,R028,79,70,1.1,50,15
P029,R029,83,80,0.95,65,15
P030,R030,71,60,1.0,40,15
P031,R031,40,70,1.05,50,15
P032,R032,44,80,1.1,65,15
P033,R033,64,60,0.95,40,15
P034,R034,69,70,1.0,50,15
P035,R035,87,80,1.05,65,15
P036,R036,56,60,1.1,40,15
P037,R037,55,70,0.95,50,15
P038,R038,69,80,1.0,65,15
P039,R039,52,60,1.05,40,15
P040,R040,77,70,1.1,50,15
P041,R041,74,80,0.95,65,15
P042,R042,41,60,1.0,40,15
P043,R043,78,70,1.05,50,15
P044,R044,50,80,1.1,65,15
P045,R045,70,60,0.95,40,15
P046,R046,42,70,1.0,50,15
P047,R047,60,80,1.05,65,15
P048,R048,62,60,1.1,40,15
P049,R049,59,70,0.95,50,15
P050,R050,70,80,1.0,65,15
P051,R051,72,60,1.05,40,15
P052,R052,77,70,1.1,50,15
P053,R053,85,80,0.95,65,15
P054,R054,74,60,1.0,40,15
P055,R055,73,70,1.05,50,15
P056,R056,84,80,1.1,65,15
P057,R057,70,60,0.95,40,15
P058,R058,66,70,1.0,50,15
P059,R059,84,80,1.05,65,15
P060,R060,38,60,1.1,40,15
P061,R061,38,70,0.95,50,15
P062,R062,85,80,1.0,65,15
P063,R063,65,60,1.05,40,15
P064,R064,62,70,1.1,50,15
P065,R065,70,80,0.95,65,15
P066,R066,63,60,1.0,40,15
P067,R067,53,70,1.05,50,15
P068,R068,65,80,1.1,65,15
P069,R069,35,60,0.95,40,15
P070,R070,74,70,1.0,50,15
P071,R071,76,80,1.05,65,15
P072,R072,60,60,1.1,40,15
P073,R073,79,70,0.95,50,15
P074,R074,56,80,1.0,65,15
P075,R075,68,60,1.05,40,15
P076,R076,71,70,1.1,50,15
P077,R077,76,80,0.95,65,15
P078,R078,62,60,1.0,40,15
P079,R079,67,70,1.05,50,15
P080,R080,80,80,1.1,65,15
P081,R081,58,60,0.95,40,15
P082,R082,54,70,1.0,50,15
P083,R083,66,80,1.05,65,15
P084,R084,52,60,1.1,40,15
P085,R085,70,70,0.95,50,15
P086,R086,70,80,1.0,65,15
P087,R087,40,60,1.05,40,15
P088,R088,74,70,1.1,50,15
P089,R089,49,80,0.95,65,15
P090,R090,64,60,1.0,40,15
P091,R091,55,70,1.05,50,15
P092,R092,78,80,1.1,65,15
P093,R093,56,60,0.95,40,15
P094,R094,63,70,1.0,50,15
P095,R095,74,80,1.05,65,15
P096,R096,66,60,1.1,40,15
P097,R097,76,70,0.95,50,15
P098,R098,80,80,1.0,65,15
P099,R099,62,60,1.05,40,15
P100,R100,72,70,1.1,50,15
P101,R101,42,80,0.95,65,15
P102,R102,76,60,1.0,40,15
P103,R103,62,70,1.05,50,15
P104,R104,76,80,1.1,65,15
P105,R105,36,60,0.95,40,15
P106,R106,38,70,1.0,50,15
P107,R107,81,80,1.05,65,15
P108,R108,68,60,1.1,40,15
P109,R109,58,70,0.95,50,15
P110,R110,70,80,1.0,65,15
P111,R111,64,60,1.05,40,15
P112,R112,53,70,1.1,50,15
P113,R113,62,80,0.95,65,15
P114,R114,36,60,1.0,40,15
P115,R115,40,70,1.05,50,15
P116,R116,80,80,1.1,65,15
P117,R117,69,60,0.95,40,15
P118,R118,65,70,1.0,50,15
P119,R119,86,80,1.05,65,15
P120,R120,50,60,1.1,40,15
P121,R121,76,70,0.95,50,15
P122,R122,80,80,1.0,65,15
P123,R123,68,60,1.05,40,15
P124,R124,38,70,1.1,50,15
P125,R125,42,80,0.95,65,15
P126,R126,65,60,1.0,40,15
P127,R127,70,70,1.05,50,15
P128,R128,84,80,1.1,65,15
P129,R129,58,60,0.95,40,15
P130,R130,56,70,1.0,50,15
P131,R131,66,80,1.05,65,15
P132,R132,53,60,1.1,40,15
P133,R133,74,70,0.95,50,15
P134,R134,74,80,1.0,65,15
P135,R135,38,60,1.05,40,15
P136,R136,76,70,1.1,50,15
P137,R137,48,80,0.95,65,15
P138,R138,66,60,1.0,40,15
P139,R139,39,70,1.05,50,15
P140,R140,58,80,1.1,65,15
P141,R141,65,60,0.95,40,15
P142,R142,60,70,1.0,50,15
P143,R143,70,80,1.05,65,15
P144,R144,68,60,1.1,40,15
P145,R145,74,70,0.95,50,15
P146,R146,82,80,1.0,65,15
P147,R147,72,60,1.05,40,15
P148,R148,70,70,1.1,50,15
P149,R149,80,80,0.95,65,15
P150,R150,74,60,1.0,40,15
P151,R151,66,70,1.05,50,15
P152,R152,80,80,1.1,65,15
P153,R153,68,60,0.95,40,15
P154,R154,80,70,1.0,50,15
P155,R155,81,80,1.05,65,15
P156,R156,116,60,1.1,40,15
P157,R157,59,70,0.95,50,15
P158,R158,112,80,1.0,65,15
P159,R159,96,60,1.05,40,15
P160,R160,82,70,1.1,50,15
P161,R161,68,80,0.95,65,15
P162,R162,74,60,1.0,40,15
P163,R163,78,70,1.05,50,15
P164,R164,87,80,1.1,65,15
P165,R165,105,60,0.95,40,15
P166,R166,120,70,1.0,50,15
P167,R167,68,80,1.05,65,15
P168,R168,98,60,1.1,40,15
P169,R169,82,70,0.95,50,15
P170,R170,128,80,1.0,65,15
P171,R171,113,60,1.05,40,15
P172,R172,112,70,1.1,50,15
P173,R173,84,80,0.95,65,15
P174,R174,74,60,1.0,40,15
P175,R175,69,70,1.05,50,15
P176,R176,74,80,1.1,65,15
P177,R177,108,60,0.95,40,15
P178,R178,60,70,1.0,50,15
P179,R179,70,80,1.05,65,15
P180,R180,96,60,1.1,40,15
P181,R181,64,70,0.95,50,15
P182,R182,132,80,1.0,65,15
P183,R183,66,60,1.05,40,15
P184,R184,81,70,1.1,50,15
P185,R185,115,80,0.95,65,15
P186,R186,72,60,1.0,40,15
P187,R187,126,70,1.05,50,15
P188,R188,85,80,1.1,65,15
P189,R189,75,60,0.95,40,15
P190,R190,40,70,1.0,50,15
P191,R191,66,80,1.05,65,15
P192,R192,69,60,1.1,40,15
P193,R193,125,70,0.95,50,15
P194,R194,128,80,1.0,65,15
P195,R195,100,60,1.05,40,15
P196,R196,108,70,1.1,50,15
P197,R197,132,80,0.95,65,15
P198,R198,111,60,1.0,40,15
P199,R199,75,70,1.05,50,15
P200,R200,42,80,1.1,65,15
P201,R201,70,60,0.95,40,15
P202,R202,119,70,1.0,50,15
P203,R203,82,80,1.05,65,15
P204,R204,65,60,1.1,40,15
P205,R205,74,70,0.95,50,15
P206,R206,132,80,1.0,65,15
P207,R207,82,60,1.05,40,15
P208,R208,54,70,1.1,50,15
P209,R209,59,80,0.95,65,15
P210,R210,48,60,1.0,40,15
P211,R211,82,70,1.05,50,15
P212,R212,74,80,1.1,65,15
P213,R213,66,60,0.95,40,15
P214,R214,68,70,1.0,50,15
P215,R215,50,80,1.05,65,15
P216,R216,39,60,1.1,40,15
P217,R217,82,70,0.95,50,15
P218,R218,56,80,1.0,65,15
P219,R219,48,60,1.05,40,15
P220,R220,40,70,1.1,50,15
P221,R221,51,80,0.95,65,15
P222,R222,66,60,1.0,40,15
P223,R223,70,70,1.05,50,15
P224,R224,80,80,1.1,65,15
P225,R225,70,60,0.95,40,15
P226,R226,43,70,1.0,50,15
P227,R227,94,80,1.05,65,15
P228,R228,74,60,1.1,40,15
P229,R229,55,70,0.95,50,15
P230,R230,88,80,1.0,65,15
P231,R231,36,60,1.05,40,15
P232,R232,73,70,1.1,50,15
P233,R233,74,80,0.95,65,15
